sottoinsieme,modello,blocco,riferimento,rmse_mean,rmse_std,differenza_media,differenza_std,differenza_in_dispersioni,fold_peggiori,n_fold,differenza_min,differenza_max
FD003,Modello additivo generalizzato,Superamento della linearita',Percettrone multistrato,15.945531144649989,1.091754685630344,1.9034209717622683,0.4731065504165647,4.023239522019572,15,15,0.9617362641837364,2.7460760058671383
FD003,Step functions,Superamento della linearita',Percettrone multistrato,16.095433238118655,1.080293305738448,2.0533230652309387,0.4681902535464955,4.38565956825717,15,15,1.2615730566197725,2.8201355675894924
FD003,Regressione polinomiale,Superamento della linearita',Percettrone multistrato,16.43929677031008,1.019997289577947,2.397186597422361,0.7421794728565756,3.2299284540918736,15,15,1.372035663486434,4.62537661416088
FD003,Albero di regressione potato,Famiglia ad albero,Percettrone multistrato,16.87085065576091,1.1265305807617003,2.828740482873192,0.5696671154002435,4.9656025534943184,15,15,2.0153840772242617,3.9692879098082177
FD003,"SVR, kernel lineare",Metodi a margine e reti,Percettrone multistrato,19.826376866261008,1.518421120791596,5.784266693373289,1.05565592375281,5.479310600380546,15,15,3.8225161998786295,7.606640214637503
FD003,Forward stepwise selection,Modelli lineari,Percettrone multistrato,19.84859550183314,1.448683217770911,5.806485328945424,1.2423032595371275,4.673967716311775,15,15,3.8154121072387657,8.04306243002687
FD003,Best subset selection,Modelli lineari,Percettrone multistrato,19.848595501833145,1.448683217770913,5.806485328945428,1.24230325953713,4.67396771631177,15,15,3.8154121072387657,8.043062430026877
FD003,Backward stepwise selection,Modelli lineari,Percettrone multistrato,19.848595501833145,1.448683217770913,5.806485328945428,1.24230325953713,4.67396771631177,15,15,3.8154121072387657,8.043062430026877
FD003,Ridge,Modelli lineari,Percettrone multistrato,19.88186911728864,1.4487799388672398,5.839758944400919,1.0901075279602153,5.357048543025975,15,15,3.91512043748037,8.082153117541777
FD003,Elastic Net,Modelli lineari,Percettrone multistrato,19.88964032861062,1.4539644433528665,5.847530155722902,1.055030027989233,5.542524857674078,15,15,3.9569494732623713,7.954887672012637
