insieme,n_clusters,metodo,linkage,silhouette,ari_vs_kmeans,dimensione_minima,dimensione_massima,ari_vs_reference
FD003_senza_durata,3,agglomerative,ward,0.4827168952870913,0.9531242437272768,18,44,
FD003_senza_durata,3,agglomerative,complete,0.5437890350089867,0.7231306476770032,1,56,
FD003_senza_durata,3,agglomerative,average,0.5437890350089867,0.7231306476770032,1,56,
FD003_senza_durata,4,kmeans,,0.4968057299027244,1.0,1,43,
FD003_senza_durata,4,agglomerative,ward,0.4882503285874408,0.9526439403643174,1,43,
FD003_senza_durata,4,agglomerative,complete,0.4882503285874408,0.9526439403643174,1,43,
FD003_senza_durata,4,agglomerative,average,0.4882503285874408,0.9526439403643174,1,43,
FD003_senza_durata,5,kmeans,,0.2709734348610466,1.0,9,35,
FD003_senza_durata,5,agglomerative,ward,0.4114936867088302,0.678931033444843,1,43,
FD003_senza_durata,5,agglomerative,complete,0.4114936867088302,0.678931033444843,1,43,
FD003_senza_durata,5,agglomerative,average,0.4449604685156657,0.618692439419545,1,43,
FD003_senza_durata,6,kmeans,,0.4173986025386758,1.0,1,43,
FD003_senza_durata,6,agglomerative,ward,0.4045094792940803,0.9014406833445956,1,43,
FD003_senza_durata,6,agglomerative,complete,0.4045094792940803,0.9014406833445956,1,43,
FD003_senza_durata,6,agglomerative,average,0.4313661231924115,0.8119050876102379,1,43,
